symbol,package_count,packages
ARKUI_ACCESSIBILITY_MODE_AUTO,2,platform.basic|platform.ohos
ARKUI_ACCESSIBILITY_MODE_DISABLED,2,platform.basic|platform.ohos
ARKUI_ACCESSIBILITY_MODE_DISABLED_FOR_DESCENDANTS,2,platform.basic|platform.ohos
ARKUI_ACCESSIBILITY_MODE_ENABLED,2,platform.basic|platform.ohos
ARKUI_ACCESSIBILITY_NATIVE_ACTION_TYPE_CLEAR_ACCESSIBILITY_FOCUS,2,platform.basic|platform.ohos
ARKUI_ACCESSIBILITY_NATIVE_ACTION_TYPE_CLICK,2,platform.basic|platform.ohos
ARKUI_ACCESSIBILITY_NATIVE_ACTION_TYPE_COPY,2,platform.basic|platform.ohos
ARKUI_ACCESSIBILITY_NATIVE_ACTION_TYPE_CUT,2,platform.basic|platform.ohos
ARKUI_ACCESSIBILITY_NATIVE_ACTION_TYPE_GAIN_ACCESSIBILITY_FOCUS,2,platform.basic|platform.ohos
ARKUI_ACCESSIBILITY_NATIVE_ACTION_TYPE_INVALID,2,platform.basic|platform.ohos
ARKUI_ACCESSIBILITY_NATIVE_ACTION_TYPE_LONG_CLICK,2,platform.basic|platform.ohos
ARKUI_ACCESSIBILITY_NATIVE_ACTION_TYPE_NEXT_HTML_ITEM,2,platform.basic|platform.ohos
ARKUI_ACCESSIBILITY_NATIVE_ACTION_TYPE_PASTE,2,platform.basic|platform.ohos
ARKUI_ACCESSIBILITY_NATIVE_ACTION_TYPE_PREVIOUS_HTML_ITEM,2,platform.basic|platform.ohos
ARKUI_ACCESSIBILITY_NATIVE_ACTION_TYPE_SCROLL_BACKWARD,2,platform.basic|platform.ohos
ARKUI_ACCESSIBILITY_NATIVE_ACTION_TYPE_SCROLL_FORWARD,2,platform.basic|platform.ohos
ARKUI_ACCESSIBILITY_NATIVE_ACTION_TYPE_SELECT_TEXT,2,platform.basic|platform.ohos
ARKUI_ACCESSIBILITY_NATIVE_ACTION_TYPE_SET_CURSOR_POSITION,2,platform.basic|platform.ohos
ARKUI_ACCESSIBILITY_NATIVE_ACTION_TYPE_SET_TEXT,2,platform.basic|platform.ohos
ARKUI_ACCESSIBILITY_NATIVE_DIRECTION_BACKWARD,2,platform.basic|platform.ohos
ARKUI_ACCESSIBILITY_NATIVE_DIRECTION_DOWN,2,platform.basic|platform.ohos
ARKUI_ACCESSIBILITY_NATIVE_DIRECTION_FORWARD,2,platform.basic|platform.ohos
ARKUI_ACCESSIBILITY_NATIVE_DIRECTION_INVALID,2,platform.basic|platform.ohos
ARKUI_ACCESSIBILITY_NATIVE_DIRECTION_LEFT,2,platform.basic|platform.ohos
ARKUI_ACCESSIBILITY_NATIVE_DIRECTION_RIGHT,2,platform.basic|platform.ohos
ARKUI_ACCESSIBILITY_NATIVE_DIRECTION_UP,2,platform.basic|platform.ohos
ARKUI_ACCESSIBILITY_NATIVE_EVENT_TYPE_ACCESSIBILITY_FOCUSED,2,platform.basic|platform.ohos
ARKUI_ACCESSIBILITY_NATIVE_EVENT_TYPE_ACCESSIBILITY_FOCUS_CLEARED,2,platform.basic|platform.ohos
ARKUI_ACCESSIBILITY_NATIVE_EVENT_TYPE_ANNOUNCE_FOR_ACCESSIBILITY,2,platform.basic|platform.ohos
ARKUI_ACCESSIBILITY_NATIVE_EVENT_TYPE_CLICKED,2,platform.basic|platform.ohos
ARKUI_ACCESSIBILITY_NATIVE_EVENT_TYPE_FOCUS_NODE_UPDATE,2,platform.basic|platform.ohos
ARKUI_ACCESSIBILITY_NATIVE_EVENT_TYPE_INVALID,2,platform.basic|platform.ohos
ARKUI_ACCESSIBILITY_NATIVE_EVENT_TYPE_LONG_CLICKED,2,platform.basic|platform.ohos
ARKUI_ACCESSIBILITY_NATIVE_EVENT_TYPE_PAGE_CLOSE,2,platform.basic|platform.ohos
ARKUI_ACCESSIBILITY_NATIVE_EVENT_TYPE_PAGE_CONTENT_UPDATE,2,platform.basic|platform.ohos
ARKUI_ACCESSIBILITY_NATIVE_EVENT_TYPE_PAGE_OPEN,2,platform.basic|platform.ohos
